,scientific_name,park_name,observations,category,common_names,conservation_status
1006,Photinia pyrifolia,Yosemite National Park,188,Vascular Plant,Red Chokeberry,Not Listed
1007,Eryngium yuccifolium,Yellowstone National Park,242,Vascular Plant,Rattlesnake-Master,Not Listed
1008,Arabis lemmonii var. depauperata,Yellowstone National Park,259,Vascular Plant,Soldier Rockcress,Not Listed
1009,Oxypolis occidentalis,Bryce National Park,121,Vascular Plant,Western Cowbane,Not Listed
1010,Geranium dissectum,Yellowstone National Park,221,Vascular Plant,Cutleaf Geranium,Not Listed
1011,Salix jepsonii,Bryce National Park,96,Vascular Plant,Jepson's Willow,Not Listed
1012,Cannabis sativa,Yellowstone National Park,248,Vascular Plant,"Hemp, Marijuana, Marijuana",Not Listed
1013,Cannabis sativa,Yellowstone National Park,248,Vascular Plant,"Grass, Hashish, Hemp, Marijuana, Mary Jane, Pot",Not Listed
1014,Boehmeria cylindrica,Bryce National Park,84,Vascular Plant,"Button-Hemp, False Nettle, False Nettle",Not Listed
1015,Triticum aestivum,Great Smoky Mountains National Park,94,Vascular Plant,"Cultivated Wheat, Wheat",Not Listed
1016,Triticum aestivum,Great Smoky Mountains National Park,94,Vascular Plant,"Common Wheat, Wheat",Not Listed
1017,Carex stipata var. stipata,Bryce National Park,96,Vascular Plant,Owlfruit Sedge,Not Listed
1018,Sitta carolinensis,Great Smoky Mountains National Park,66,Bird,White-Breasted Nuthatch,Not Listed
1019,Heuchera americana,Bryce National Park,104,Vascular Plant,"Alumroot, American Alumroot",Not Listed
1020,Rigiopappus leptocladus,Bryce National Park,101,Vascular Plant,Wireweed,Not Listed
1021,Solidago erecta,Great Smoky Mountains National Park,86,Vascular Plant,Slender Golden-Rod,Not Listed
1022,Erechtites hieraciifolia var. hieraciifolia,Bryce National Park,87,Vascular Plant,American Burnweed,Not Listed
1023,Carex preslii,Bryce National Park,76,Vascular Plant,Presl's Sedge,Not Listed
1024,Lupinus breweri var. breweri,Yellowstone National Park,261,Vascular Plant,Brewer's Lupine,Not Listed
1025,Rubus discolor,Yellowstone National Park,225,Vascular Plant,"Himalaya Blackberry, Himalayan Blackberry",Not Listed
1026,Silene noctiflora,Bryce National Park,112,Vascular Plant,Nightflowering Silene,Not Listed
1027,Daucus carota,Yosemite National Park,160,Vascular Plant,"Queen Anne's Lace, Wild Carrot",Not Listed
1028,Daucus carota,Yosemite National Park,160,Vascular Plant,"Bird's Nest, Queen Anne's Lace, Wild Carrot",Not Listed
1029,Oncorhynchus mykiss,Bryce National Park,59,Fish,Rainbow Trout,Not Listed
1030,Oncorhynchus mykiss,Bryce National Park,59,Fish,Rainbow Trout,Threatened
1031,Arisaema triphyllum ssp. quinatum,Yosemite National Park,193,Vascular Plant,Jack In The Pulpit,Not Listed
1032,Oxytropis deflexa var. foliolosa,Great Smoky Mountains National Park,83,Vascular Plant,"Nodding Locoweed, Pendant-Pod Crazyweed, Pendantpod Locoweed",Not Listed
1033,Antennaria lanata,Bryce National Park,99,Vascular Plant,Woolly Pussytoes,Not Listed
1034,Paraleucobryum longifolium,Bryce National Park,124,Nonvascular Plant,Longleaf Paraleucobryum Moss,Not Listed
1035,Achnatherum occidentale ssp. californicum,Bryce National Park,77,Vascular Plant,California Needlegrass,Not Listed
1036,Hypnum lindbergii,Yosemite National Park,162,Nonvascular Plant,Lindberg's Hypnum Moss,Not Listed
1037,Woodsia scopulina,Yosemite National Park,135,Vascular Plant,"Rocky Mountain Cliff Fern, Rocky Mountain Woodsia",Not Listed
1038,Thamnophis elegans vagrans,Bryce National Park,107,Reptile,Wandering Garter Snake,Not Listed
1039,Parnassia asarifolia,Great Smoky Mountains National Park,45,Vascular Plant,"Grass-Of-Parnassus, Kidneyleaf Grass-Of-Parnassus",Not Listed
1040,Taraxacum laevigatum,Great Smoky Mountains National Park,114,Vascular Plant,Red-Seeded Dandelion,Not Listed
1041,Taraxacum laevigatum,Great Smoky Mountains National Park,114,Vascular Plant,"Red-Seed Dandelion, Rock Dandelion",Not Listed
1042,Veronica peregrina ssp. xalapensis,Yellowstone National Park,255,Vascular Plant,"Hairy Purslane Speedwell, Neckweed",Not Listed
1043,Lindernia dubia var. anagallidea,Great Smoky Mountains National Park,113,Vascular Plant,False Pimpernel,Not Listed
1044,Lindernia dubia var. anagallidea,Great Smoky Mountains National Park,113,Vascular Plant,"False Pimpernel, Yellowseed False Pimpernel, Yellow-Seed False Pimpernel",Not Listed
1045,Platanthera peramoena,Yellowstone National Park,251,Vascular Plant,Purple Fringeless Orchid,Not Listed
1046,Canis rufus,Bryce National Park,30,Mammal,Red Wolf,Endangered
1047,Polytrichum juniperinum,Great Smoky Mountains National Park,92,Nonvascular Plant,Juniper Polytrichum Moss,Not Listed
1048,Spiranthes tuberosa,Yellowstone National Park,262,Vascular Plant,"Little Ladies'-Tresses, Little Lady's Tresses",Not Listed
1049,Agoseris grandiflora,Bryce National Park,107,Vascular Plant,"Bigflower Agoseris, Shortbeak Agoseris",Not Listed
1050,Gastrophryne carolinensis,Great Smoky Mountains National Park,84,Amphibian,Eastern Narrow-Mouthed Toad,Not Listed
1051,Porterella carnosula,Yosemite National Park,167,Vascular Plant,"Fleshy Porterella, Porterplant",Not Listed
1052,Rumex crispus,Yellowstone National Park,255,Vascular Plant,"Curled Dock, Curly Dock",Not Listed
1053,Rumex crispus,Yellowstone National Park,255,Vascular Plant,"Curly Dock, Narrowleaf Dock, Sour Dock, Yellow Dock",Not Listed
1054,Galactia volubilis,Bryce National Park,145,Vascular Plant,Downy Milkpea,Not Listed
1055,Mimus polyglottos,Yellowstone National Park,257,Bird,"Mockingbird, Northern Mockingbird",Not Listed
1056,Mimus polyglottos,Yellowstone National Park,257,Bird,Northern Mockingbird,Not Listed
1057,Prenanthes alba,Great Smoky Mountains National Park,90,Vascular Plant,"White Rattlesnakeroot, White Rattlesnake-Root",Not Listed
1058,Symphyotrichum dumosum var. dumosum,Great Smoky Mountains National Park,95,Vascular Plant,Rice Button Aster,Not Listed
1059,Lithospermum canescens,Bryce National Park,70,Vascular Plant,"Hoary Puccoon, Orange Puccoon",Not Listed
1060,Castor canadensis,Great Smoky Mountains National Park,95,Mammal,"American Beaver, Beaver",Not Listed
1061,Castor canadensis,Great Smoky Mountains National Park,95,Mammal,American Beaver,Not Listed
1062,Castor canadensis,Great Smoky Mountains National Park,95,Mammal,Beaver,Not Listed
1063,Erechtites hieraciifolia,Yosemite National Park,160,Vascular Plant,American Burnweed,Not Listed
1064,Ligustrum vulgare,Yellowstone National Park,250,Vascular Plant,"Common Privet, European Privet",Not Listed
1065,Nycticorax nycticorax,Bryce National Park,106,Bird,Black-Crowned Night-Heron,Species Of Concern
1066,Nycticorax nycticorax,Bryce National Park,106,Bird,Black-Crowned Night Heron,Species Of Concern
1067,Cerastium glomeratum,Bryce National Park,94,Vascular Plant,"Mouse-Ear Chickweed, Sticky Mouse-Ear Chickweed",Not Listed
1068,Cerastium glomeratum,Bryce National Park,94,Vascular Plant,Sticky Chickweed,Not Listed
1069,Dulichium arundinaceum,Yellowstone National Park,259,Vascular Plant,Three-Way Sedge,Not Listed
1070,Dulichium arundinaceum,Yellowstone National Park,259,Vascular Plant,Threeway Sedge,Not Listed
1071,Gallinula chloropus,Yosemite National Park,181,Bird,Common Moorhen,Not Listed
1072,Verbesina alternifolia,Great Smoky Mountains National Park,100,Vascular Plant,Wingstem,Not Listed
1073,Buxbaumia aphylla,Yellowstone National Park,241,Nonvascular Plant,Bug-On-A-Stick,Not Listed
1074,Urtica dioica,Bryce National Park,89,Vascular Plant,Stinging Nettle,Not Listed
1075,Dicentra chrysantha,Bryce National Park,107,Vascular Plant,Golden Eardrops,Not Listed
1076,Gentianella quinquefolia ssp. quinquefolia,Great Smoky Mountains National Park,93,Vascular Plant,Stiff Gentian,Not Listed
1077,Microseris nutans,Yosemite National Park,155,Vascular Plant,"Nodding Microseris, Nodding Silverpuffs",Not Listed
1078,Aegolius,Great Smoky Mountains National Park,42,Bird,Saw-Whet Owls,Not Listed
1079,Pinus pungens,Great Smoky Mountains National Park,86,Vascular Plant,Table Mountain Pine,Not Listed
1080,Fissidens subbasilaris,Bryce National Park,108,Nonvascular Plant,Fissidens Moss,Not Listed
1081,Cyperus setigerus,Yosemite National Park,152,Vascular Plant,Thin-Fruited Umbrella Sedge,Not Listed
1082,Cyperus dipsaceus,Yosemite National Park,149,Vascular Plant,"Wright Flatsedge, Wright's Flatsedge",Not Listed
1083,Epilobium glaberrimum ssp. fastigiatum,Yosemite National Park,115,Vascular Plant,"Glaucus Willowherb, Smooth Willowweed",Not Listed
1084,Leucobryum albidum,Yellowstone National Park,259,Nonvascular Plant,Leucobryum Moss,Not Listed
1085,Corallorrhiza striata,Yellowstone National Park,232,Vascular Plant,"Hooded Coralroot, Striped Coralroot",Not Listed
1086,Ambystoma mavortium melanostictum,Bryce National Park,84,Amphibian,Blotched Tiger Salamander,Not Listed
1087,Heuchera longiflora,Bryce National Park,100,Vascular Plant,"Alumroot, Long-Flower Alumroot",Not Listed
1088,Tiarella cordifolia var. cordifolia,Yellowstone National Park,245,Vascular Plant,Foamflower,Not Listed
1089,Potentilla drummondii ssp. drummondii,Yellowstone National Park,266,Vascular Plant,Drummond's Cinquefoil,Not Listed
1090,Vitis aestivalis var. bicolor,Yosemite National Park,135,Vascular Plant,Summer Grape,Not Listed
1091,Mentha X gracilis,Yosemite National Park,140,Vascular Plant,Mint,Not Listed
1092,Erysimum cheiranthoides,Bryce National Park,76,Vascular Plant,"Worm-Seed Mustard, Worm-Seed Wallflower",Not Listed
1093,Erysimum cheiranthoides,Bryce National Park,76,Vascular Plant,"Treacle Wallflower, Wallflower Mustard, Wormseed Mustard, Wormseed Wallflower, Worm-Seed Wallflower",Not Listed
1094,Verbena simplex,Great Smoky Mountains National Park,71,Vascular Plant,"Narrow-Leaved Vervain, Vervain",Not Listed
1095,Ictinia mississippiensis,Yosemite National Park,139,Bird,Mississippi Kite,Not Listed
1096,Eleocharis rostellata,Great Smoky Mountains National Park,64,Vascular Plant,"Beaked Spikerush, Beaked Spike-Rush, Beaked Spikesedge",Not Listed
1097,Monarda fistulosa,Great Smoky Mountains National Park,69,Vascular Plant,Wild Bergamot Bee-Balm,Not Listed
1098,Peromyscus californicus,Yosemite National Park,133,Mammal,California Mouse,Not Listed
1099,Coluber constrictor constrictor,Great Smoky Mountains National Park,35,Reptile,Northern Black Racer,Not Listed
1100,Chrysothamnus viscidiflorus var. viscidiflorus,Great Smoky Mountains National Park,95,Vascular Plant,Yellow Rabbitbrush,Not Listed
1101,Erysimum cheiranthoides,Yosemite National Park,118,Vascular Plant,"Worm-Seed Mustard, Worm-Seed Wallflower",Not Listed
1102,Erysimum cheiranthoides,Yosemite National Park,118,Vascular Plant,"Treacle Wallflower, Wallflower Mustard, Wormseed Mustard, Wormseed Wallflower, Worm-Seed Wallflower",Not Listed
1103,Passer domesticus,Yellowstone National Park,267,Bird,House Sparrow,Not Listed
1104,Dicranum condensatum,Yosemite National Park,148,Nonvascular Plant,Condensed Dicranum Moss,Not Listed
1105,Ambystoma mavortium melanostictum,Yellowstone National Park,287,Amphibian,Blotched Tiger Salamander,Not Listed
1106,Scribneria bolanderi,Bryce National Park,95,Vascular Plant,Scribner's Grass,Not Listed
1107,Lathyrus lanszwertii var. lanszwertii,Yellowstone National Park,210,Vascular Plant,"Lanszwert's Pea, Lanszwert's Peavine",Not Listed
1108,Steerecleus serrulatus,Yosemite National Park,156,Nonvascular Plant,Steerecleus Moss,Not Listed
1109,Lamium amplexicaule,Yellowstone National Park,240,Vascular Plant,"Common Deadnettle, Henbit",Not Listed
1110,Lamium amplexicaule,Yellowstone National Park,240,Vascular Plant,"Common Henbit, Giraffehead, Henbit, Henbit Deadnettle",Not Listed
1111,Pinus jeffreyi,Great Smoky Mountains National Park,76,Vascular Plant,"Black Pine, Jeffrey Pine, Jeffrey's Pine",Not Listed
1112,Rana catesbeiana,Bryce National Park,57,Amphibian,American Bullfrog,Not Listed
1113,Rana catesbeiana,Bryce National Park,57,Amphibian,"American Bullfrog, Bullfrog",Not Listed
1114,Lupinus breweri var. bryoides,Great Smoky Mountains National Park,76,Vascular Plant,Matted Lupine,Not Listed
1115,Carex oligocarpa,Bryce National Park,95,Vascular Plant,Sedge,Not Listed
1116,Cyperus retrorsus,Yellowstone National Park,262,Vascular Plant,"Retrorse Flatsedge, Umbrella-Sedge",Not Listed
1117,Centaurea cyanus,Yellowstone National Park,279,Vascular Plant,"Batchelor's Button, Corn-Flower",Not Listed
1118,Centaurea cyanus,Yellowstone National Park,279,Vascular Plant,"Bachelor's Button, Cornflower, Garden Cornflower",Not Listed
1119,Smilax biltmoreana,Bryce National Park,114,Vascular Plant,Carrion Flower,Not Listed
1120,Seiurus motacilla,Bryce National Park,64,Bird,Louisiana Waterthrush,Not Listed
1121,Erigeron clokeyi,Bryce National Park,127,Vascular Plant,"Clokey's Daisy, Clokey's Fleabane",Not Listed
1122,Lampropeltis getula nigra,Yosemite National Park,129,Reptile,Black Kingsnake,Not Listed
1123,Calocedrus decurrens,Bryce National Park,135,Vascular Plant,Incense Cedar,Not Listed
1124,Amelanchier sanguinea,Bryce National Park,113,Vascular Plant,"Roundleaf Shadbush, Round-Leaved Shadbush",Not Listed
1125,Danthonia compressa,Great Smoky Mountains National Park,63,Vascular Plant,"Flattened Oatgrass, Mountain Oat Grass",Not Listed
1126,Lampropeltis getula californiae,Bryce National Park,77,Reptile,California Kingsnake,Species Of Concern
1127,Allium textile,Yellowstone National Park,260,Vascular Plant,"Prairie Onion, Textile Onion, Wild Onion",Not Listed
1128,Lepomis cyanellus,Yellowstone National Park,270,Fish,Green Sunfish,Not Listed
1129,Artemisia abrotanum,Great Smoky Mountains National Park,66,Vascular Plant,Southernwood,Not Listed
1130,Sanicula marilandica,Great Smoky Mountains National Park,117,Vascular Plant,"Black Snakeroot, Black Snake-Root",Not Listed
1131,Sanicula marilandica,Great Smoky Mountains National Park,117,Vascular Plant,"Black Sanicle, Maryland Black-Snakeroot, Maryland Sanicle",Not Listed
1132,Carex disperma,Great Smoky Mountains National Park,75,Vascular Plant,"Softleaf Sedge, Soft-Leaf Sedge, Softleaved Sedge",Not Listed
1133,Erigeron,Yosemite National Park,138,Vascular Plant,"Daisy, Fleabane",Not Listed
1134,Sedum spectabile,Great Smoky Mountains National Park,75,Vascular Plant,Showy Stonecrop,Not Listed
1135,Lepus townsendii,Yellowstone National Park,210,Mammal,"White-Tailed Jack Rabbit, White-Tailed Jackrabbit",Not Listed
1136,Linum medium var. texanum,Yellowstone National Park,252,Vascular Plant,Stiff Yellow Flax,Not Listed
1137,Streptopus amplexifolius var. amplexifolius,Yosemite National Park,162,Vascular Plant,"American Twistedstalk, Claspleaf Twistedstalk",Not Listed
1138,Gentiana calycosa,Bryce National Park,122,Vascular Plant,"Mountain Bog Gentian, Rainier Pleated Gentian",Not Listed
1139,Zonotrichia leucophrys,Great Smoky Mountains National Park,95,Bird,White-Crowned Sparrow,Not Listed
1140,Eleocharis palustris,Great Smoky Mountains National Park,62,Vascular Plant,Spike-Rush,Not Listed
1141,Eleocharis palustris,Great Smoky Mountains National Park,62,Vascular Plant,"Common Spikerush, Creeping Spikerush, Creeping Spike-Rush, Marsh Spike-Rush, Spikesedge",Not Listed
1142,Pterospora andromedea,Bryce National Park,81,Vascular Plant,"Giant Bird's Nest, Giant Pinedrops, Woodland Pinedrops",Not Listed
1143,Salix farriae,Yosemite National Park,157,Vascular Plant,Farr's Willow,Not Listed
1144,Clarkia gracilis ssp. albicaulis,Great Smoky Mountains National Park,95,Vascular Plant,Whitestem Clarkia,Not Listed
1145,Carex geyeri,Yosemite National Park,142,Vascular Plant,"Elk Sedge, Geyer's Sedge",Not Listed
1146,Desmodium nudiflorum,Yellowstone National Park,253,Vascular Plant,"Bare-Stemmed Tick-Treefoil, Naked-Flowered Tick-Trefoil",Not Listed
1147,Epilobium glaberrimum ssp. glaberrimum,Yosemite National Park,150,Vascular Plant,"Glaucus Willowherb, Smooth Willowweed",Not Listed
1148,Magnolia fraseri,Yosemite National Park,161,Vascular Plant,Fraser Magnolia,Not Listed
1149,Myosotis verna,Yellowstone National Park,233,Vascular Plant,"Early Forget-Me-Not, Spring Forget-Me-Not",Not Listed
1150,Cynosurus echinatus,Yosemite National Park,135,Vascular Plant,Bristly Dogstail Grass,Not Listed
1151,Histrionicus histrionicus,Yosemite National Park,114,Bird,Harlequin Duck,Not Listed
1152,Matricaria matricarioides,Yellowstone National Park,272,Vascular Plant,"Disc Mayweed, Pineappleweed",Not Listed
1153,Hesperis matronalis,Bryce National Park,124,Vascular Plant,Dames Rocket,Not Listed
1154,Hesperis matronalis,Bryce National Park,124,Vascular Plant,"Dames Rocket, Dame's Rocket, Dames Violet, Mother-Of-The-Evening",Not Listed
1155,Erigeron lonchophyllus,Bryce National Park,82,Vascular Plant,"Low-Meadow Fleabane, Shortray Boreal Daisy, Short-Ray Boreal-Daisy, Shortray Fleabane, Spearleaf Daisy",Not Listed
1156,Anthoxanthum odoratum,Bryce National Park,116,Vascular Plant,Sweet Vernal Grass,Not Listed
1157,Diervilla sessilifolia,Yosemite National Park,190,Vascular Plant,"Sessile-Leaved Bush-Honey-Suckle, Southern Bush-Honeysuckle",Not Listed
1158,Salpinctes obsoletus,Bryce National Park,129,Bird,Rock Wren,Not Listed
1159,Celastrus orbiculatus,Great Smoky Mountains National Park,47,Vascular Plant,Oriental Bittersweet,Not Listed
1160,Monardella sheltonii,Yellowstone National Park,261,Vascular Plant,Shelton's Monardella,Not Listed
1161,Cirriphyllum piliferum,Bryce National Park,68,Nonvascular Plant,A Moss,Not Listed
1162,Rubus canadensis,Yellowstone National Park,225,Vascular Plant,Smooth Blackberry,Not Listed
1163,Lynx canadensis,Great Smoky Mountains National Park,59,Mammal,"Canada Lynx, Canadian Lynx, Lynx",Not Listed
1164,Cryptotaenia canadensis,Yosemite National Park,168,Vascular Plant,"Canada Honewort, Honewort",Not Listed
1165,Cystopteris bulbifera,Bryce National Park,76,Vascular Plant,Bulblet Fern,Not Listed
1166,Ranunculus bulbosus,Yosemite National Park,142,Vascular Plant,"Bulbous Buttercup, Bulbous Butter-Cup",Not Listed
1167,Pseudacris triseriata,Bryce National Park,82,Amphibian,"Striped Chorus Frog, Western Chorus Frog",Not Listed
1168,Sceloporus occidentalis,Yosemite National Park,134,Reptile,Western Fence Lizard,Not Listed
1169,Ribes inerme var. inerme,Great Smoky Mountains National Park,80,Vascular Plant,Whitestem Gooseberry,Not Listed
1170,Erechtites hieracifolia,Great Smoky Mountains National Park,115,Vascular Plant,Burnweed,Not Listed
1171,Rhytidiadelphus squarrosus,Bryce National Park,132,Nonvascular Plant,Square Goose Neck Moss,Not Listed
1172,Eremophila alpestris,Yellowstone National Park,233,Bird,Horned Lark,Not Listed
1173,Silphium compositum,Bryce National Park,122,Vascular Plant,"Kindey-Leaf Rosin-Weed, Rosin-Weed",Not Listed
1174,Horkelia tridentata ssp. tridentata,Bryce National Park,117,Vascular Plant,Threetooth Horkelia,Not Listed
1175,Cyperus iria,Yellowstone National Park,243,Vascular Plant,Ricefield Flatsedge,Not Listed
1176,Carex striatula,Yellowstone National Park,234,Vascular Plant,Lined Sedge,Not Listed
1177,Stephanomeria runcinata,Bryce National Park,91,Vascular Plant,"Desert Wirelettuce, Flowering-Straw",Not Listed
1178,Veratrum viride,Yellowstone National Park,247,Vascular Plant,"American False-Helleborne, False Hellebore",Not Listed
1179,Myotis californicus,Yosemite National Park,148,Mammal,"California Myotis, California Myotis, Californian Myotis",Species Of Concern
1180,Myotis californicus,Yosemite National Park,148,Mammal,California Myotis,Species Of Concern
1181,Polemonium californicum,Great Smoky Mountains National Park,77,Vascular Plant,Moving Polemonium,Not Listed
1182,Juncus tenuis,Great Smoky Mountains National Park,86,Vascular Plant,Poverty Rush,Not Listed
1183,Juncus tenuis,Great Smoky Mountains National Park,86,Vascular Plant,"Field Rush, Path Rush, Poverty Rush, Slender Rush, Slender Yard Rush, Wiregrass",Not Listed
1184,Scleria triglomerata,Great Smoky Mountains National Park,101,Vascular Plant,"Nut-Rush, Whip Nutrush",Not Listed
1185,Silene ovata,Great Smoky Mountains National Park,42,Vascular Plant,"Mountain Catchfly, Rough-Leaved Campion",Species Of Concern
1186,Aphanes microcarpa,Great Smoky Mountains National Park,49,Vascular Plant,Alchemilla,Not Listed
1187,Carex biltmoreana,Great Smoky Mountains National Park,79,Vascular Plant,Biltmore Sedge,Not Listed
1188,Ranunculus testiculatus,Yosemite National Park,162,Vascular Plant,"Bur Buttercup, Curveseed Butterwort, Little Bur, Testiculate Buttercup",Not Listed
1189,Myriophyllum verticillatum,Great Smoky Mountains National Park,80,Vascular Plant,"Whorled Water-Milfoil, Whorlleaf Watermilfoil, Whorl-Leaf Watermilfoil",Not Listed
1190,Oxydendrum arboreum,Bryce National Park,110,Vascular Plant,Sourwood,Not Listed
1191,Dichanthelium laxiflorum,Bryce National Park,117,Vascular Plant,"Lax-Flower Witchgrass, Panic Grass",Not Listed
1192,Digitalis purpurea,Great Smoky Mountains National Park,67,Vascular Plant,"Fox-Glove, Purple Foxglove",Not Listed
1193,Digitalis purpurea,Great Smoky Mountains National Park,67,Vascular Plant,Purple Foxglove,Not Listed
1194,Hypnum curvifolium,Bryce National Park,75,Nonvascular Plant,Curveleaf Hypnum Moss,Not Listed
1195,Dicranella heteromalla,Great Smoky Mountains National Park,74,Nonvascular Plant,Dicranella Moss,Not Listed
1196,Gratiola neglecta,Great Smoky Mountains National Park,67,Vascular Plant,"Clammy Hedge-Hyssop, Hedge-Hyssop",Not Listed
1197,Gratiola neglecta,Great Smoky Mountains National Park,67,Vascular Plant,"Clammy Hedgehyssop, Clammy Hedge-Hyssop, Drug Hedgehyssop, Hedge Hyssop, Neglected Hedgehyssop",Not Listed
1198,Fimbristylis autumnalis,Great Smoky Mountains National Park,91,Vascular Plant,"Autumn Fimbristylis, Slender Fimbry",Not Listed
1199,Carpinus caroliniana,Yosemite National Park,132,Vascular Plant,"American Hornbeam, American Hornbean",Not Listed
1200,Epilobium lactiflorum,Bryce National Park,88,Vascular Plant,"Broadleaf Willowweed, Milkflower Willowherb, White-Flower Willowherb",Not Listed
1201,Sceloporus graciosus graciosus,Yosemite National Park,137,Reptile,Northern Sagebrush Lizard,Species Of Concern
1202,Pseudotriton ruber ruber,Yellowstone National Park,243,Amphibian,Northern Red Salamander,Not Listed
1203,Ribes amarum,Bryce National Park,106,Vascular Plant,Bitter Gooseberry,Not Listed
1204,Pekania pennanti,Great Smoky Mountains National Park,43,Mammal,Fisher,Not Listed
1205,Carex debilis var. debilis,Yosemite National Park,167,Vascular Plant,White Edge Sedge,Not Listed
1206,Scolopax minor,Great Smoky Mountains National Park,60,Bird,American Woodcock,Not Listed
1207,Alces alces,Yosemite National Park,161,Mammal,"Eurasian Elk, Moose",Not Listed
1208,Ruellia humilis,Great Smoky Mountains National Park,43,Vascular Plant,Hairy Wild-Petunia,Not Listed
1209,Sialia currucoides,Great Smoky Mountains National Park,71,Bird,Mountain Bluebird,Not Listed
1210,Minuartia californica,Yellowstone National Park,222,Vascular Plant,California Sandwort,Not Listed
1211,Mimulus nanus,Bryce National Park,132,Vascular Plant,Dwarf Purple Monkeyflower,Not Listed
1212,Glyceria striata,Yellowstone National Park,268,Vascular Plant,"Fowl Manna-Grass, Striate Mannagrass",Not Listed
1213,Glyceria striata,Yellowstone National Park,268,Vascular Plant,"Fowl Manna Grass, Fowl Mannagrass",Not Listed
1214,Spiranthes vernalis,Bryce National Park,106,Vascular Plant,"Early Lady's Tresses, Grassleaf Ladies'-Tresses",Not Listed
1215,Rumex paucifolius,Yosemite National Park,120,Vascular Plant,"Alpine Sheep Sorrel, Fewleaved Dock, Meadow Dock",Not Listed
1216,Rorippa curvisiliqua,Yellowstone National Park,223,Vascular Plant,Curvepod Yellowcress,Not Listed
1217,Carex tiogana,Bryce National Park,87,Vascular Plant,Tioga Pass Sedge,Not Listed
1218,Ludwigia peploides ssp. glabrescens,Yosemite National Park,138,Vascular Plant,Floating Primrosewillow,Not Listed
1219,Microtus longicaudus,Yellowstone National Park,218,Mammal,"Coronation Island Vole, Long-Tailed Vole",Not Listed
1220,Microtus longicaudus,Yellowstone National Park,218,Mammal,Long-Tailed Vole,Not Listed
1221,Brassica kaber,Yosemite National Park,150,Vascular Plant,"Canola, Charlock Mustard, Kaber Mustard, Rapeseed, Wild Mustard",Not Listed
1222,Cyprinella spilopterus,Bryce National Park,80,Fish,Spotfin Shiner,Not Listed
1223,Trillium erectum,Great Smoky Mountains National Park,101,Vascular Plant,"Ill-Scent Trillium, Wake Robin",Not Listed
1224,Saxifraga oppositifolia,Great Smoky Mountains National Park,65,Vascular Plant,"Purple Mountain Saxifrage, Purple Saxifrage",Not Listed
1225,Setophaga nigrescens,Yellowstone National Park,248,Bird,Black-Throated Gray Warbler,Not Listed
1226,Geothlypis trichas,Yosemite National Park,181,Bird,Common Yellowthroat,Not Listed
1227,Camissonia luciae,Yosemite National Park,107,Vascular Plant,Santa Lucia Suncup,Not Listed
1228,Polygonum caespitosum var. longisetum,Yellowstone National Park,234,Vascular Plant,"Oriental Lady's Thumb, Oriental Ladysthumb",Not Listed
1229,Lysimachia tonsa,Yellowstone National Park,239,Vascular Plant,"Smooth Loosestrife, Southern Loosestrife",Not Listed
1230,Phalaropus lobatus,Yellowstone National Park,219,Bird,Red-Necked Phalarope,Not Listed
1231,Asplenium resiliens,Bryce National Park,85,Vascular Plant,"Black-Stem Spleenwort, Black-Stemmed Spleenwort",Not Listed
1232,Heterotheca grandiflora,Bryce National Park,99,Vascular Plant,"Telegraph Weed, Telegraphweed",Not Listed
1233,Tephrosia spicata,Bryce National Park,86,Vascular Plant,"Spike Goat's Rue, Spiked Hoary-Pea",Not Listed
1234,Diodia virginiana,Bryce National Park,87,Vascular Plant,"Larger Button-Weed, Virginia Buttonweed",Not Listed
1235,Erigeron eatonii var. sonnei,Great Smoky Mountains National Park,75,Vascular Plant,Eaton's Fleabane,Not Listed
1236,Madia elegans ssp. elegans,Yosemite National Park,141,Vascular Plant,Common Madia,Not Listed
1237,Belamcanda chinensis,Yellowstone National Park,249,Vascular Plant,Blackberry Lily,Not Listed
1238,Pylaisiella selwynii,Bryce National Park,89,Nonvascular Plant,Selwyn's Pylaisiella Moss,Not Listed
1239,Paulownia tomentosa,Yosemite National Park,168,Vascular Plant,"Princess Tree, Royal Paulownia",Not Listed
1240,Gavia stellata,Yellowstone National Park,204,Bird,"Red-Throated Diver, Red-Throated Loon",Not Listed
1241,Vaccaria hispanica,Yellowstone National Park,245,Vascular Plant,"Cow Soapwort, Cowcockle, Field Vaccaria",Not Listed
1242,Dichanthelium longiligulatum,Bryce National Park,116,Vascular Plant,"Coastal-Plain Witchgrass, Long-Ligule Panic Grass",Not Listed
1243,Dryopteris intermedia,Great Smoky Mountains National Park,87,Vascular Plant,"Evergreen Woodfern, Intermediate Wood Fern",Not Listed
1244,Anemone tetonensis,Yellowstone National Park,239,Vascular Plant,Teton Anemone,Not Listed
1245,Helianthus tuberosus,Great Smoky Mountains National Park,76,Vascular Plant,"Jerusalem Artichoke, Sunflower",Not Listed
1246,Tiarella cordifolia var. cordifolia,Yosemite National Park,162,Vascular Plant,Foamflower,Not Listed
1247,Carex louisianica,Yosemite National Park,147,Vascular Plant,Louisiana Sedge,Not Listed
1248,Aphelocoma californica,Yellowstone National Park,278,Bird,Western Scrub-Jay,Not Listed
1249,Ambrosia psilostachya,Yosemite National Park,186,Vascular Plant,"Cuman Ragweed, Perennial Ragweed, Western Ragweed",Not Listed
1250,Eremophila alpestris,Great Smoky Mountains National Park,97,Bird,Horned Lark,Not Listed
